isoform_id	isoform_name	source	chromosome	strand	tss	tes	transcript_length	n_exons	exons	junctions	cds_start	cds_end	cds_length	protein_length	utr5_length	utr3_length	is_protein_coding	coding_source	expr_DMSO_ddali	total_reads_DMSO_ddali	expr_Smg1i_ddali	total_reads_Smg1i_ddali	expr_DMSO_dd	total_reads_DMSO_dd	expr_Smg1i_dd	total_reads_Smg1i_dd	expr_DMSO_doali	total_reads_DMSO_doali	expr_Smg1i_doali	total_reads_Smg1i_doali	expr_DMSO_at2	total_reads_DMSO_at2	expr_Smg1i_at2	total_reads_Smg1i_at2	expr_DMSO_fb	total_reads_DMSO_fb	expr_Smg1i_fb	total_reads_Smg1i_fb	expr_DMSO_mv	total_reads_DMSO_mv	expr_Smg1i_mv	total_reads_Smg1i_mv	total_reads_all_samples
PB.14156.24	PB.14156.24	SQANTI	18	+	8798225	8832778	3525	7	8798225_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2232	744	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.25	PB.14156.25	SQANTI	18	+	8798541	8800926	2386	1	8798541_8800926_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.26	PB.14156.26	SQANTI	18	+	8800226	8800926	701	1	8800226_8800926_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.29	PB.14156.29	SQANTI	18	+	8805569	8808023	2455	1	8805569_8808023_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	0.41	16.674	0.28	16.141000000000002	0.21	12.536	0.14	10.692	0.44	18.698999999999998	0.33	14.833	0.19	5.877000000000001	0.13	4.91	0.043	1.798	0.096	4.178	0.13	6.459	0.19	7.798	120.59499999999998
PB.14156.30	PB.14156.30	SQANTI	18	+	8806898	8832778	3453	6	8806898_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2232	744	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.31	PB.14156.31	SQANTI	18	+	8806952	8832778	3399	6	8806952_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2232	744	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.32	PB.14156.32	SQANTI	18	+	8809509	8832109	2826	7	8809509_8809561_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8822476_8822627_+:exon;8824699_8826232_+:exon;8831607_8832109_+:exon	8809561_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8822476_+;8822627_8824699_+;8826232_8831607_+	NA	NA	1749	583	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.33	PB.14156.33	SQANTI	18	+	8812967	8832778	3302	5	8812967_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2232	744	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.34	PB.14156.34	SQANTI	18	+	8813005	8832776	3178	5	8813005_8813233_+:exon;8819047_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832776_+:exon	8813233_8819047_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2148	716	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.35	PB.14156.35	SQANTI	18	+	8813027	8832778	3242	5	8813027_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2232	744	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.36	PB.14156.36	SQANTI	18	+	8813101	8832776	3082	5	8813101_8813233_+:exon;8819047_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832776_+:exon	8813233_8819047_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2001	667	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.37	PB.14156.37	SQANTI	18	+	8813120	8832775	3146	5	8813120_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832775_+:exon	8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2001	667	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.38	PB.14156.38	SQANTI	18	+	8813173	8832778	3096	5	8813173_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2001	667	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.39	PB.14156.39	SQANTI	18	+	8819120	8832778	2878	4	8819120_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	1749	583	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.40	PB.14156.40	SQANTI	18	+	8819202	8832778	2796	4	8819202_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	1749	583	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.41	PB.14156.41	SQANTI	18	+	8821482	8832778	2723	3	8821482_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8821498_8824699_+;8826232_8831607_+	NA	NA	1749	583	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.42	PB.14156.42	SQANTI	18	+	8827770	8832778	5009	1	8827770_8832778_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.43	PB.14156.43	SQANTI	18	+	8829998	8832778	2781	1	8829998_8832778_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
